lnm;eM5;eM5Ba
800;-58,94891801;-250,0362229
799;-55,72778173;-258,1118606
798;-49,02105429;-251,7605899
797;-39,04954356;-251,2818901
796;-48,96417377;-255,9914486
795;-38,30468922;-245,7327209
794;-41,59435921;-247,5035843
793;-53,78361093;-251,5804488
792;-41,81676486;-239,8533281
791;-49,75021002;-250,4583215
790;-42,07020102;-249,5420631
789;-34,01119611;-231,7433944
788;-41,95641377;-242,273137
787;-40,85989494;-250,8701058
786;-34,00602145;-249,9435795
785;-39,97541789;-244,4302663
784;-48,43151837;-251,8377965
783;-37,96846722;-245,8099509
782;-43,04773174;-246,8498191
781;-42,72189108;-245,6966788
780;-34,69921649;-250,0362229
779;-36,73218307;-245,4804722
778;-44,79068448;-257,1288729
777;-46,3835866;-251,1223312
776;-47,99711751;-255,0135367
775;-40,04783113;-254,7356067
774;-41,65125138;-249,3979409
773;-44,52691646;-254,5760479
772;-40,20817578;-243,0711407
771;-50,95509696;-262,0384796
770;-44,0666161;-248,594908
769;-40,9633416;-248,6515325
768;-34,86475616;-245,8717208
767;-48,23500349;-256,6759475
766;-37,39946987;-247,7197908
765;-36,28214472;-249,4185232
764;-45,2096021;-252,6201773
763;-39,60817412;-245,9592419
762;-40,86506669;-244,610454
761;-46,49219045;-258,1581706
760;-44,73379231;-255,6620399
759;-44,86308899;-258,5493028
758;-34,41469744;-248,2860582
757;-40,04783113;-255,2708844
756;-43,24944166;-262,4295652
755;-38,04088628;-252,7745906
754;-35,73381691;-255,131931
753;-42,37535759;-258,5029928
752;-43,15117258;-260,0160195
751;-33,35937508;-252,9959194
750;-39,41679024;-249,5472087
749;-46,32152559;-255,2194288
748;-41,02023668;-263,6131365
747;-45,73712358;-258,5904906
746;-44,69241831;-253,1503327
745;-46,23877758;-263,2477786
744;-34,4664295;-256,9641685
743;-39,76334701;-253,1297505
742;-45,19408685;-257,3604695
741;-44,84240199;-261,2202428
740;-40,58058839;-259,6866572
739;-43,54424891;-256,6862619
738;-45,36992637;-258,5904906
737;-41,51677422;-257,7516017
736;-38,03571162;-257,2523896
735;-49,71918534;-259,5631639
734;-31,80738131;-254,1848924
733;-51,08955083;-271,5267474
732;-44,94066816;-263,8807287
731;-46,58011021;-263,6903198
730;-43,88042726;-259,7947372
729;-45,23546086;-263,5874087
728;-44,49588596;-260,638725
727;-44,19591569;-267,7553566
726;-44,68724655;-266,4895728
725;-45,78884109;-265,8360871
724;-41,93572386;-259,0279328
723;-43,75629942;-259,4550839
722;-45,33889587;-262,0178973
721;-45,1475411;-267,0967486
720;-39,33920234;-258,2971239
719;-44,82171498;-260,6901806
718;-39,43748015;-259,5888916
717;-47,45927872;-263,2374875
716;-45,78884109;-270,8218992
715;-47,57305433;-269,4275696
714;-42,48397308;-262,1310996
713;-40,62196531;-258,6882561
712;-41,61504621;-261,1636417
711;-43,09428041;-266,3866617
710;-42,32880892;-263,371272
709;-42,90808574;-261,6370795
708;-46,16120423;-264,2615
707;-43,704579;-260,7107628
706;-40,50817515;-256,4237686
705;-42,82016016;-263,6903198
704;-36,44767567;-258,8426694
703;-42,20467818;-264,0248043
702;-43,663205;-264,3592888
701;-43,84422209;-261,4878351
700;-42,74257808;-264,3078333
699;-41,2685069;-263,3455442
698;-41,08230351;-263,0882431
697;-44,66655955;-262,0642073
696;-39,92886632;-258,8426694
695;-41,26333224;-257,8390995
694;-38,49090426;-257,0979763
693;-42,85636533;-259,0793883
692;-42,00813419;-258,9147072
691;-41,50643072;-260,5975606
690;-42,26157034;-259,0227872
689;-41,12368042;-260,5563961
688;-48,60734625;-261,1790784
687;-42,19950642;-259,6609294
686;-45,2096021;-260,036625
685;-42,0184806;-255,6054387
684;-46,31635384;-254,8128134
683;-42,54086816;-256,7788819
682;-38,16502867;-255,6517487
681;-45,38026988;-263,9733488
680;-41,51677422;-260,6284339
679;-41,7029747;-259,1720317
678;-42,17364476;-254,5657568
677;-40,47713883;-255,1936777
676;-41,07196;-255,1164944
675;-41,75469803;-254,0973946
674;-41,8115902;-253,1451872
673;-42,05468576;-259,7381361
672;-41,94089561;-256,6142008
671;-37,46154252;-246,1136784
670;-38,72884263;-246,0621996
669;-40,65300163;-257,185474
668;-44,74930756;-264,0968421
667;-38,196065;-257,031084
666;-38,81677694;-249,320711
665;-35,22686602;-249,2898377
664;-39,94955623;-250,4634671
663;-42,94429091;-252,8981306
662;-38,68229105;-248,8368424
661;-39,91334816;-257,8390995
660;-41,35643539;-260,9423595
659;-31,00549802;-252,1466464
658;-28,14445761;-252,3370786
657;-26,08004725;-245,882012
656;-28,47040887;-249,1405467
655;-31,64700465;-252,2032475
654;-30,45710328;-246,2989883
653;-31,24347713;-249,3618988
652;-30,28637439;-250,8289181
651;-30,83477204;-246,988819
650;-27,03724313;-244,8009327
649;-27,09415567;-247,0196923
648;-28,06167759;-247,0454434
647;-32,28850546;-247,5087531
646;-31,73495352;-250,2060961
645;-27,00619807;-244,8575571
644;-26,91306581;-245,207618
643;-29,349947;-244,4405574
642;-27,73572342;-243,7970368
641;-29,19473336;-240,8882137
640;-38,02019346;-239,740056
639;-30,50366358;-235,7187448
638;-33,10588654;-237,2840652
637;-37,97881363;-245,9952608
636;-33,20935066;-238,03066
635;-29,82592268;-229,6165563
634;-32,48509311;-229,5238432
633;-36,13213194;-231,9802763
632;-25,88860516;-230,687717
631;-31,79186024;-238,3396029
630;-34,6630055;-245,8871575
629;-33,78357796;-244,697975
628;-34,79233419;-242,0723438
627;-34,03706069;-241,8406773
626;-32,82135585;-246,2320728
625;-32,6868525;-243,0196619
624;-32,75927738;-239,369343
623;-29,97078409;-238,5815838
622;-35,97177274;-239,09132
621;-36,35973844;-239,1634043
620;-36,73218307;-239,5341173
619;-31,48145624;-238,7617948
618;-31,08310048;-237,9482845
617;-31,6780468;-236,8000569
616;-34,30606448;-228,7050011
615;-31,89533018;-227,5513951
614;-31,0675794;-227,8140513
613;-33,12140761;-237,5003183
612;-32,2833308;-230,9709555
611;-33,83013536;-224,6208722
610;-28,94122154;-230,1315311
609;-34,12500373;-234,2203166
608;-37,21842368;-234,4932174
607;-35,31998082;-236,3263397
606;-33,34902867;-233,5972385
605;-32,24711982;-228,4526592
604;-31,97292972;-232,8814473
603;-30,93306732;-231,2438795
602;-30,93824198;-232,196576
601;-32,6506386;-234,6992027
600;-33,06450089;-234,6013673
599;-30,15703405;-231,5683058
598;-27,55463647;-232,2068671
597;-31,68839321;-234,0143314
596;-25,2884056;-229,8534382
595;-32,86274441;-236,707367
594;-29,71210342;-236,0431477
593;-29,55171803;-233,9576837
592;-30,42088647;-233,3603567
591;-31,63665824;-243,6219947
590;-31,11413971;-238,3910818
589;-30,92789557;-244,9502237
588;-29,66554021;-237,618736
587;-32,30919829;-237,4591306
586;-30,01217265;-233,3140234
585;-32,34541218;-235,2244221
584;-32,8161841;-237,1553332
583;-27,88059064;-241,3258189
582;-26,75267169;-236,3778418
581;-29,4223777;-239,7297649
580;-33,20935066;-241,2898
579;-25,10213235;-237,6547782
578;-27,25454688;-229,0860983
577;-32,26263798;-228,3856971
576;-29,19473336;-242,1341371
575;-27,33215806;-227,7470892
574;-29,24647124;-229,8791893
573;-31,23830247;-230,976101
572;-32,55751799;-237,5518205
571;-26,45775385;-235,445844
570;-31,65217931;-235,6724115
569;-32,20573126;-230,7340503
568;-27,55981113;-222,1176634
567;-29,06021837;-225,2698177
566;-32,3195447;-225,9599743
565;-27,36320021;-223,0550861
564;-30,4053654;-222,5863747
563;-28,9463962;-221,633492
562;-25,63507296;-220,0263785
561;-24,81755218;-220,541493
560;-25,3246224;-221,1080864
559;-26,82510822;-226,3050526
558;-26,34392295;-221,9167771
557;-23,92239985;-221,9837392
556;-23,44635723;-218,3728851
555;-23,82926032;-220,2427248
554;-18,99097115;-210,4134997
553;-21,83191391;-215,4468792
552;-20,13978956;-214,5917155
551;-16,79156994;-212,0673191
550;-12,57358381;-211,3975585
549;-7,692628424;-206,5440407
548;-6,900650624;-210,5010906
547;-8,101552521;-210,4753163
546;-7,221584383;-205,0394658
545;-3,934488996;-204,5911504
544;-0,533247658;-207,6569945
543;1,827587766;-204,1377127
542;4,812468251;-201,3601828
541;11,02882306;-200,5201997
540;17,385908;-195,6448657
539;15,03458334;-207,8321762
538;24,03659455;-205,8381215
537;39,34896085;-193,7018009
536;44,80323987;-188,6195038
535;45,13233143;-182,113715
534;46,7726466;-184,9440043
533;53,90990991;-183,3871123
532;66,55461038;-175,3130346
531;72,66053581;-177,7622267
530;78,80881312;-180,9897949
529;99,92598789;-177,1950629
528;107,0097089;-178,3706364
527;123,1509144;-175,0603784
526;133,4710279;-169,2332909
525;150,0662416;-166,04095
524;176,2341242;-156,1375451
523;197,3155187;-146,6394984
522;220,7799349;-140,1325688
521;238,5303611;-134,3885437
520;262,0951971;-129,0205633
519;275,8061979;-122,6762077
518;296,4668674;-121,4216696
517;330,294529;-114,8593379
516;362,5144949;-101,8659794
515;393,8989714;-99,55196874
514;430,3358961;-91,05931967
513;470,0428806;-87,61322824
512;516,2114277;-74,24476207
511;555,9839308;-68,96755658
510;605,0604396;-62,54721084
509;658,4814284;-52,91490816
508;711,1682091;-48,11088729
507;776,7748553;-42,13226784
506;840,8390917;-26,95445728
505;909,2800319;-22,02337346
504;985,2718562;-8,334482118
503;1064,877305;-0,99400977
502;1144,772395;8,600170258
501;1236,936823;16,17397647
500;1329,959184;27,32087742
499;1430,778392;36,00677301
498;1539,365295;38,91368397
497;1648,9584;51,31040234
496;1769,213378;63,77806421
495;1892,365329;74,36153246
494;2026,533708;83,92309537
493;2167,06004;92,42057567
492;2311,564423;99,80144678
491;2468,74243;111,2656901
490;2634,258009;120,747136
489;2803,236805;131,9027273
488;2977,219783;137,2595783
487;3172,056377;155,0148707
486;3364,5574;158,2831028
485;3575,512394;169,9135173
484;3799,158335;185,3944035
483;4024,356604;197,9786204
482;4255,136475;212,2573089
481;4498,902336;227,2510668
480;4756,531119;238,0514517
479;5044,732615;260,5638932
478;5331,137031;270,9662309
477;5612,245202;293,3263546
476;5900,759622;309,9436639
475;6197,831407;326,0144265
474;6508,1276;345,2012548
473;6821,908057;366,1612282
472;7136,09308;387,9070515
471;7463,054359;403,6905244
470;7796,568424;425,0238184
469;8133,026212;438,5798238
468;8467,763662;446,2969955
467;8807,497472;464,9274051
466;9156,748652;474,4863603
465;9518,013149;487,086596
464;9868,010134;490,9715615
463;10232,04699;489,4714803
462;10601,32608;502,5683437
461;10967,07359;499,0437068
460;11342,89801;504,2312667
459;11731,50092;525,0900052
458;12120,83101;535,846781
457;12514,42879;553,1890318
456;12905,64239;566,514954
455;13309,46833;589,757273
454;13700,35261;602,4776027
453;14094,09791;624,7281097
452;14484,56645;645,7078736
451;14874,68481;666,308729
450;15252,38752;685,5886895
449;15632,9006;709,0342697
448;16009,01634;733,8141557
447;16384,98455;759,5432922
446;16743,15929;786,7532782
445;17082,60477;811,9124919
444;17439,30131;842,3645981
443;17779,43969;873,8839068
442;18107,07301;909,6818045
441;18412,53936;940,0067851
440;18718,34099;982,6609865
439;19015,90526;1018,948853
438;19293,9952;1061,078534
437;19547,58018;1108,251885
436;19784,61891;1152,685191
435;20020,32846;1198,989525
434;20223,10197;1250,836626
433;20414,30175;1302,670967
432;20572,75176;1338,271517
431;20730,20786;1393,861603
430;20880,96589;1460,072119
429;21005,32651;1528,917532
428;21116,12409;1596,988551
427;21220,31152;1673,807018
426;21307,09291;1764,382049
425;21387,26711;1862,651855
424;21437,82079;1944,944449
423;21473,08886;2040,463313
422;21503,92979;2146,099508
421;21501,08814;2243,39515
420;21474,5447;2341,657877
419;21434,47101;2440,439165
418;21381,53166;2539,327554
417;21307,79475;2629,260533
416;21222,89389;2735,13291
415;21108,15197;2818,392962
414;20984,45445;2920,267358
413;20859,0582;3016,068414
412;20698,28957;3099,20758
411;20537,12308;3193,387389
410;20361,34154;3291,502222
409;20171,40388;3385,011852
408;19974,59084;3474,056721
407;19766,514;3564,259782
406;19542,59127;3655,669838
405;19316,81186;3753,170744
404;19088,23848;3847,346827
403;18839,38313;3951,644152
402;18593,52291;4053,586349
401;18352,05555;4165,98469
400;18101,62961;4284,784943
399;17848,81949;4411,552846
398;17592,33475;4541,622847
397;17355,17383;4694,144055
396;17109,55799;4837,00484
395;16865,19086;4991,802946
394;16629,86875;5146,857724
393;16408,12308;5324,622616
392;16176,32657;5498,011783
391;15954,81485;5662,696064
390;15742,52844;5857,31864
389;15544,17312;6072,36363
388;15348,39272;6266,595423
387;15165,15613;6459,897012
386;14987,46425;6665,430218
385;14808,76803;6861,104816
384;14644,55277;7053,087652
383;14469,87391;7252,689451
382;14318,70311;7456,488907
381;14174,92926;7659,28477
380;14035,87759;7856,183499
379;13886,53815;8054,635674
378;13752,34723;8256,50692
377;13616,71239;8465,357125
376;13497,19316;8682,689071
375;13397,96931;8911,127597
374;13276,24321;9151,364118
373;13178,74491;9404,345602
372;13083,35215;9658,040851
371;12996,06115;9927,028418
370;12890,38807;10214,44052
369;12805,52745;10508,921
368;12732,05578;10817,58067
367;12661,53455;11149,65975
366;12568,86274;11468,17878
365;12489,18325;11814,01089
364;12419,29606;12172,36519
363;12357,69913;12542,95707
362;12284,78774;12905,78544
361;12212,25187;13289,01947
360;12157,39623;13683,67225
359;12105,10358;14090,94036
358;12060,20564;14505,20009
357;12024,45626;14933,69788
356;11996,52925;15373,24637
355;11966,55706;15839,19227
354;11973,36316;16321,86025
353;11969,25417;16797,10746
352;11957,43307;17310,8384
351;11968,43237;17838,31865
350;11985,59105;18364,7871
349;12006,21054;19026,09468
348;12016,27627;19565,25445
347;12063,16873;20173,44683
346;12061,88053;20716,49581
345;12077,77336;21291,26191
344;12099,12077;21847,22126
343;12089,47673;22396,8789
342;12070,19836;22910,24625
341;12075,001;23394,10633
340;12041,72298;23820,15586
339;11994,20914;24171,37921
338;11955,73211;24524,71405
337;11905,59492;24787,78809
336;11811,26535;25000,97454
335;11775,20081;25195,88172
334;11715,44939;25335,29401
333;11661,79627;25406,81362
332;11631,1267;25469,75613
331;11617,13749;25482,13899
330;11615,45664;25528,04947
329;11635,72147;25533,38408
328;11708,17465;25548,77102
327;11811,48291;25553,84934
326;11931,67791;25574,11194
325;12078,90883;25590,64627
324;12258,32626;25581,20191
323;12473,89764;25591,75491
322;12726,27413;25602,66554
321;12982,73653;25605,28517
320;13274,81568;25552,35028
319;13628,89111;25498,4051
318;14017,51041;25457,75175
317;14467,8697;25428,45309
316;14965,33006;25354,55227
315;15551,58198;25288,75172
314;16212,22645;25242,98429
313;16938,96204;25211,1882
312;17686,68145;25178,3818
311;18505,64927;25188,07054
310;19356,04513;25221,54748
309;20163,19633;25262,45415
308;20949,33838;25325,87647
307;21687,60598;25383,57377
306;22409,71327;25453,11451
305;23057,79457;25553,59602
304;23669,98643;25657,06968
303;24276,59482;25762,37619
302;24855,86703;25859,06982
301;25398,77295;25984,54654
300;25949,60332;26094,85388
299;26494,74442;26247,76959
298;27017,3043;26406,63683
297;27530,61354;26572,30794
296;28033,24461;26753,89647
295;28510,65099;26955,27971
294;28955,38509;27139,59217
293;29356,80747;27312,4218
292;29727,91195;27524,25373
291;30097,01371;27740,21626
290;30422,27924;27995,27049
289;30737,58185;28254,07982
288;31084,54645;28532,38583
287;31416,79466;28848,34707
286;31761,36017;29162,30559
285;32181,94842;29522,57693
284;32614,51125;29907,10139
283;33094,52236;30324,81372
282;33625,32258;30804,30031
281;34188,04109;31343,05775
280;34762,75206;31946,0541
279;35330,25682;32588,05871
278;35893,99755;33301,57101
277;36404,73783;34014,94026
276;36876,76489;34746,34588
275;37311,18441;35497,23625
274;37683,00116;36234,54869
273;38055,25601;36962,06212
272;38457,01218;37704,42307
271;38816,99741;38429,50463
270;39155,85279;39111,15527
269;39463,49025;39711,67207
268;39707,64577;40268,91589
267;39873,20364;40745,87524
266;39986,78625;41150,14374
265;40030,78938;41510,4419
264;40061,07748;41873,30306
263;40112,61165;42206,74038
262;40151,98648;42543,95664
261;40175,48859;42847,8688
260;40185,42767;43144,01746
259;40183,56502;43370,05019
258;40153,56898;43548,01178
257;40067,22867;43632,51925
256;39918,50913;43648,08798
255;39677,70338;43577,46542
254;39374,37534;43392,65823
253;38940,50419;43080,02889
252;38428,69997;42640,54298
251;37822,17503;42049,61956
250;37105,70037;41313,18927
249;36333,28378;40465,59036
248;35478,84822;39487,47814
247;34538,12301;38426,85819
246;33566,96367;37292,1139
245;32585,47187;36141,93499
244;31597,5517;34998,54505
243;30610,37958;33869,47215
242;29669,18051;32808,03561
241;28808,43282;31839,51974
240;28019,0587;30971,70293
239;27329,94258;30240,25857
238;26742,29443;29652,06504
237;26245,36157;29200,54197
236;25869,7778;28929,38554
235;25552,65427;28801,84948
234;25355,72648;28827,4765
233;25218,83249;28975,55828
232;25177,54138;29263,14771
231;25199,96762;29658,1775
230;25297,05167;30169,83867
229;25425,753;30737,06627
228;25628,5876;31402,63557
227;25869,45593;32115,02433
226;26139,77194;32843,66727
225;26491,78803;33619,78233
224;26873,97897;34415,32552
223;27301,1148;35226,41659
222;27826,59531;36052,40881
221;28435,41503;36925,43507
220;29134,10962;37839,2756
219;29976,57955;38832,34859
218;30961,45988;39914,54542
217;32070,13607;41112,20539
216;33348,53947;42450,91081
215;34802,863;43933,32601
214;36365,44645;45580,92356
213;38096,88389;47542,55116
212;39959,63335;49793,78879
211;41880,81622;52404,30236
210;43816,24162;55436,6529
209;45816,22481;58930,40299
208;47843,60826;62812,25085
207;49981,19473;66959,31554
206;52255,57685;71302,25897
205;54741,81771;75646,09051
204;57389,54544;79810,27365
203;60161,20315;83822,8941
202;63072,8364;87753,67737
201;66079,59867;91575,29473
200;69106,71592;95334,32722